response_date,student_id,school_name,service_evaluated,qualification_service,reason
2023-03-12,S-01234,Greenwood High School,academic quality,8,"Overall the coursework is solid, but the pacing can be rough during exams."
2023-04-02,S-04567,Riverside Academy,professor teachings,9,"Professors explain concepts clearly most days, though a few slides move too fast."
2023-05-21,S-08912,Hillcrest School,sports facilities,6,"The gym has the basics, but the courts get crowded after lunch and the equipment needs upkeep."
2023-06-15,S-14325,Maple Leaf School,extracurricular activities,7,"There are options, but it feels like some clubs don’t get enough funding or interest from seniors."
2023-07-08,S-26738,Sunrise Institute,personal motivation,8,"Encouragement is present, yet I sometimes wish more personalized guidance for long-term goals."
2023-08-30,S-39012,Lakeside College,school climate,7,"The vibe is mostly positive, but it can get tense during grading periods and crowding in hallways."
2023-09-17,S-50423,Pine Valley School,communication with school,7,"Admins reply relatively quick, yet messages about schedule changes get lost sometimes."
2023-10-05,S-65894,Cedar Grove School,academic quality,5,Coursework is okay but the feedback on essays is inconsistent and slow.
2023-11-11,S-77123,Silver Oak School,professor teachings,10,"Instructors are engaging, patient, and push us to think critically every class."
2023-12-19,S-88765,Blue Horizon School,sports facilities,4,Facilities feel outdated; the track is rough and the gym floor is slick in spots.
2024-01-22,S-91234,Greenwood High School,extracurricular activities,8,"There are clubs I love, but some weeks the events are canceled last minute."
2024-02-14,S-10293,Riverside Academy,personal motivation,6,"Motivation is there, but I wish more mentors check in about progress."
2024-03-09,S-11475,Hillcrest School,school climate,9,Overall atmosphere is supportive; teachers and peers make the school feel safe.
2024-04-30,S-12658,Maple Leaf School,communication with school,8,"Messages to the front desk are usually answered, but some admin emails go unanswered for days."
2024-05-18,S-13847,Sunrise Institute,academic quality,7,"The courses challenge me, yet some topics are covered too quickly for mastery."
2024-06-07,S-15023,Lakeside College,professor teachings,6,"Some teachers are great, others seem distracted; need more consistency."
2024-07-21,S-16290,Pine Valley School,sports facilities,9,Facility upgrades are noticeable; field and gym are clean and well-maintained.
2024-08-16,S-17456,Cedar Grove School,extracurricular activities,5,Not enough time slots for clubs I’m interested in; coordination could improve.
2024-09-03,S-18671,Silver Oak School,personal motivation,7,"I feel capable, but I’d appreciate clearer goals and milestones to aim for."
2024-10-28,S-19872,Blue Horizon School,school climate,8,"Peer support is strong, yet the administration sometimes seems distant during core weeks."
2024-11-09,S-21098,Greenwood High School,communication with school,9,"They keep parents in the loop and staff are easy to reach, which helps with scheduling."
2025-01-14,S-22340,Riverside Academy,academic quality,6,"Coursework is fine, but grading can feel opaque and slow at times."
2023-03-12,S-00001,Greenwood High School,academic quality,9,"The coursework is solid and explanations clear, though a few topics felt rushed in places."
2023-04-18,S-00002,Riverside Academy,professor teachings,8,"Professors explain well most of the time, but the pacing can get slow during dense chapters."
2023-05-04,S-00003,Hillcrest School,sports facilities,7,"Facilities are decent; gym hours clash with practice, making it tough to train."
2023-06-21,S-00004,Maple Leaf School,extracurricular activities,8,"There are lots of clubs, but I wish there were more leadership roles for younger students."
2023-09-10,S-00005,Sunrise Institute,personal motivation,6,"Sometimes I feel the school barely pushes me to stay on track, need more encouragement."
2024-01-15,S-00006,Lakeside College,school climate,7,"Overall vibe is positive, though a few classes feel overcrowded and loud."
2024-02-28,S-00007,Pine Valley School,communication with school,9,"Emails and notices are timely; I always know what’s going on, very helpful."
2024-03-22,S-00008,Cedar Grove School,academic quality,8,"Lessons are mostly engaging, yet some resources could be updated to reflect current standards."
2024-04-07,S-00009,Silver Oak School,professor teachings,7,"Some teachers are fantastic, others could be more organized during labs."
2024-05-30,S-00010,Blue Horizon School,sports facilities,6,"Fields are okay, but maintenance days interrupt practice schedules more than expected."
2024-07-19,S-00011,Greenwood High School,extracurricular activities,9,Lotsa clubs with real projects—feels like they actually value student interests.
2024-08-11,S-00012,Riverside Academy,personal motivation,5,"I sometimes feel lost, need clearer goals and more check-ins from mentors."
2024-09-02,S-00013,Hillcrest School,school climate,7,"Supportive environment overall, but some corridors get chaotic during lunch rush."
2024-10-17,S-00014,Maple Leaf School,communication with school,8,"Front desk is helpful and replies fast, though system glitches happen occasionally."
2024-11-05,S-00015,Sunrise Institute,academic quality,6,"Content is solid but a bit outdated in some topics, needs refreshing."
2025-01-12,S-00016,Lakeside College,professor teachings,10,Incredible mentors who make tough material feel doable; love the feedback style.
2025-02-20,S-00017,Pine Valley School,sports facilities,8,"Gym and track are great most days, a few upgrades would boost performance."
2025-03-08,S-00018,Cedar Grove School,extracurricular activities,7,"There’s something for everyone, yet I wish more funding for competitions."
2025-04-25,S-00019,Silver Oak School,personal motivation,9,Motivation from teachers and peers keeps me going even when topics get hard.
2025-06-02,S-00020,Blue Horizon School,school climate,6,"Nice people here, but a few cliques make some rooms feel less welcoming."
2023-02-14,S-10234,Greenwood High School,academic quality,8,"Overall quality is solid, but some courses feel rushed."
2023-03-01,S-20485,Riverside Academy,professor teachings,9,"Professors know their stuff, explains concepts with clarity most days."
2023-04-22,S-31764,Hillcrest School,sports facilities,6,"Facilities are decent, gym equipment could be more up-to-date and the courts cleaner."
2023-05-18,S-45821,Maple Leaf School,extracurricular activities,7,"There are some clubs that interest me, but a few options disappear after semester ends."
2023-06-05,S-57219,Sunrise Institute,personal motivation,8,"Motivation feels encouraged by peers and teachers, yet sometimes workload dampens drive."
2023-07-11,S-68345,Lakeside College,school climate,7,"School vibe is generally positive, but mornings can be noisy and distracting."
2023-08-29,S-79102,Pine Valley School,communication with school,6,Info flow could be faster; messages sometimes get lost in inboxes.
2023-09-12,S-88123,Cedar Grove School,academic quality,9,Course materials are thorough and well-structured; exams align with what we learn.
2023-10-03,S-99076,Silver Oak School,professor teachings,5,Some instructors rush through topics; need more examples and slower pacing.
2023-11-19,S-10458,Blue Horizon School,sports facilities,8,"Facilities look good, courts are clean and schedules are reliable."
2023-12-08,S-20341,Greenwood High School,extracurricular activities,6,I wish there were more tech-related clubs; robotics is scarce here.
2024-01-15,S-30672,Riverside Academy,personal motivation,7,"Encouragement from mentors helps, but personal goals sometimes feel far away."
2024-02-22,S-41259,Hillcrest School,school climate,8,The environment is generally welcoming; some halls feel crowded during passing period.
2024-03-07,S-52814,Maple Leaf School,communication with school,7,"Emails reach admin, but responses take a bit longer than expected."
2024-04-18,S-64051,Sunrise Institute,academic quality,10,Curriculum is rigorous and pushes me to think deeper—loving the challenge.
2024-05-23,S-74592,Lakeside College,professor teachings,8,Lectures are engaging when prepared; occasional jargon makes some topics hard.
2024-06-09,S-85273,Pine Valley School,sports facilities,5,"Gym is outdated and equipment doesn’t always work, needs investment."
2024-07-31,S-96431,Cedar Grove School,extracurricular activities,9,There are cool options; I joined a debate club which is awesome.
2024-08-19,S-10568,Silver Oak School,personal motivation,6,"Motivation varies day to day; some days I feel inspired, others I’m lazy."
2024-09-11,S-11827,Blue Horizon School,school climate,7,"Overall vibe is friendly, but the front desk could be more helpful."
2024-10-02,S-22184,Greenwood High School,communication with school,9,Messages are clear and timely; I appreciate the transparency from admin.
2024-11-28,S-33297,Riverside Academy,academic quality,7,"Coursework challenging, yet the assignments sometimes feel repetitive and long."
2023-02-14,S-10001,Greenwood High School,academic quality,8,"Classes are solid, but some topics move too fast for me."
2023-03-07,S-10002,Riverside Academy,professor teachings,9,"Professors explain stuff clearly most days, still a few lectures drag on."
2023-04-22,S-10003,Hillcrest School,sports facilities,7,Gym area feels cramped; equipment is decent but not up to date.
2023-05-18,S-10004,Maple Leaf School,extracurricular activities,6,"There are clubs, but I wish there was more student-led options."
2023-06-30,S-10005,Sunrise Institute,personal motivation,8,"I stay motivated because peers push me, but counseling could be better."
2023-07-15,S-10006,Lakeside College,school climate,7,"The vibe is generally positive, yet some admin processes feel cold."
2023-08-22,S-10007,Pine Valley School,communication with school,8,"Emails get answered, but sometimes stuff takes too long to resolve."
2023-09-11,S-10008,Cedar Grove School,academic quality,9,Coursework is challenging but fair; I’m learning a lot.
2023-10-05,S-10009,Silver Oak School,professor teachings,7,"Lectures are mostly engaging, a few presenters could use examples."
2023-11-29,S-10010,Blue Horizon School,sports facilities,6,"Fields are decent, but courts need resurfacing soon."
2024-01-12,S-10011,Greenwood High School,extracurricular activities,9,"There’s a club for almost anything, I found my people here."
2024-02-20,S-10012,Riverside Academy,personal motivation,7,"Motivation comes from friends, teachers push you, still room for more support."
2024-03-30,S-10013,Hillcrest School,school climate,8,"Friendly environment, but some corridors feel overcrowded during lunch."
2024-04-14,S-10014,Maple Leaf School,communication with school,9,"Staff are approachable and listen, despite occasional miscommunication."
2024-05-21,S-10015,Sunrise Institute,academic quality,6,"The syllabus is enough, but assessment feels inconsistent."
2024-06-02,S-10016,Lakeside College,professor teachings,8,Clear explanations most days; some demos would help.
2024-07-19,S-10017,Pine Valley School,sports facilities,7,"Good facility access, though some equipment is broken."
2024-08-26,S-10018,Cedar Grove School,extracurricular activities,8,I joined robotics and debate; both are well-supported here.
2024-09-13,S-10019,Silver Oak School,personal motivation,9,I feel driven because teachers believe in me; it helps a lot.
2024-10-07,S-10020,Blue Horizon School,communication with school,6,"Messages sometimes vanish; still, meetings help when scheduled."
2023-02-14,S-00001,Greenwood High School,academic quality,8,"Overall solid coursework, but some topics felt rushed and a bit dense at times."
2023-03-21,S-00002,Riverside Academy,professor teachings,9,"Teacher explains concepts clearly most days, though a couple sessions were kind of flat and skipped examples."
2023-04-18,S-00003,Hillcrest School,sports facilities,7,"The gym has good equipment, but the court surfaces need maintenance; gaming courts are nice though."
2023-05-02,S-00004,Maple Leaf School,extracurricular activities,6,"There are clubs I like, but reminders and scheduling can be inconsistent, which makes it hard to commit."
2023-06-11,S-00005,Sunrise Institute,personal motivation,8,Motivational talks help me push through; some days I still feel kinda overwhelmed.
2023-07-19,S-00006,Lakeside College,school climate,7,"The vibe is generally friendly, but the halls feel crowded during lunch."
2023-08-23,S-00007,Pine Valley School,communication with school,8,"Emails are answered fast, but sometimes important updates get buried in the inbox."
2023-09-30,S-00008,Cedar Grove School,academic quality,9,"Curriculum seems rigorous and relevant, though a few topics could use more real-world examples."
2023-11-15,S-00009,Silver Oak School,professor teachings,6,Lectures are okay but a bit monotone; needs more interactive activities.
2024-01-08,S-00010,Blue Horizon School,sports facilities,8,"Sports facilities are great, the track is smooth and the weight room is well-stocked."
2024-02-14,S-00011,Greenwood High School,extracurricular activities,7,"There are decent options, but some interesting clubs have limited meeting times."
2024-03-07,S-00012,Riverside Academy,personal motivation,7,"I get encouraged by peers, though I still struggle with procrastination on big assignments."
2024-04-22,S-00013,Hillcrest School,school climate,9,School feels inclusive and supportive; a few new students may still feel invisible.
2024-05-30,S-00014,Maple Leaf School,communication with school,6,Notifications sometimes miss the mark; need clearer channels for urgent matters.
2024-07-09,S-00015,Sunrise Institute,academic quality,8,"Coursework aligns with what we’re learning in practice, but some assessments could be clearer."
2024-08-16,S-00016,Lakeside College,professor teachings,9,"Professors are engaging and ready to help after class, which makes difficult topics easier."
2024-09-27,S-00017,Pine Valley School,sports facilities,5,Facilities are decent but the gym is sometimes crowded and equipment wears out quicker.
2024-10-18,S-00018,Cedar Grove School,extracurricular activities,7,Clubs are okay; would like more student-led initiatives and events.
2024-11-29,S-00019,Silver Oak School,personal motivation,8,"Feeling more driven after mentor sessions, though motivation dips during midterms."
2025-02-04,S-00020,Blue Horizon School,communication with school,7,"Messages usually get through, but there are occasional delays that stress schedules."
2023-02-14,S-20485,Greenwood High School,academic quality,8,"Overall the coursework is solid, but some topics feel rushed in the midterms."
2023-03-22,S-16893,Riverside Academy,professor teachings,9,"Professors explain concepts clearly most days, yet a few lectures were a bit dry and skipped examples."
2023-05-11,S-30122,Hillcrest School,sports facilities,6,"Gym is decent, but crowded after 5 pm and the equipment needs maintenance."
2023-06-30,S-40211,Maple Leaf School,extracurricular activities,7,"There are clubs I like, but chances to lead projects are scarce and need better promotion."
2023-09-04,S-55890,Sunrise Institute,personal motivation,8,"The teachers push us to think for ourselves, though goals are not always clearly connected to real-life work."
2023-11-19,S-77321,Lakeside College,school climate,7,"Environment is generally positive, but some corners of the campus feel neglected and noisy."
2024-01-15,S-10192,Pine Valley School,communication with school,5,Messages sometimes take too long to answer and the portal is not always reliable.
2024-03-03,S-55671,Cedar Grove School,academic quality,9,Course materials are thorough and the pacing makes sense most of the time.
2024-04-27,S-43058,Silver Oak School,professor teachings,6,"Lectures are engaging when the teacher shows real-world examples, but some slides are too text-heavy."
2024-06-10,S-28947,Blue Horizon School,sports facilities,8,"Field access is good and the gym has new machines, just wish schedules were clearer."
2024-07-19,S-90231,Greenwood High School,extracurricular activities,9,"There’s a club for nearly everything and leadership roles pop up often, which is awesome."
2024-09-05,S-74512,Riverside Academy,personal motivation,6,"The guidance counselor helps, but some peers seem unsure about goals and need more direction."
2024-10-29,S-33214,Hillcrest School,school climate,7,"Feels supportive most days, though the cafeteria noise can be overwhelming during lunch."
2024-12-08,S-57863,Maple Leaf School,communication with school,4,Emails sometimes get lost; important updates arrive late and with typos.
2025-02-18,S-42091,Sunrise Institute,academic quality,8,"Coursework is rigorous but fair, and feedback helps me improve steadily."
2025-03-12,S-66752,Lakeside College,professor teachings,7,Professors are supportive; a few could use more interactive activity in lectures.
2025-04-25,S-21108,Pine Valley School,sports facilities,5,Sports spaces feel cramped in peak times; washing facilities sometimes out of order.
2025-05-09,S-15500,Cedar Grove School,extracurricular activities,8,"There’s a good mix of clubs, but some events are poorly advertised and easy to miss."
2025-06-18,S-90876,Silver Oak School,personal motivation,9,"I feel encouraged to chase ambitious projects, which pushes me to work harder."
2023-03-15,S-04231,Greenwood High School,academic quality,8,"Overall quality is solid, but some lectures felt rushed and left me wanting deeper explanations."
2023-05-22,S-11876,Riverside Academy,professor teachings,9,"The professor explained tough concepts well, though a few classes dragged mid-term week."
2023-11-02,S-90521,Hillcrest School,sports facilities,7,Facilities are decent but the gym often gets crowded; update schedule would help.
2024-01-18,S-32058,Maple Leaf School,extracurricular activities,8,"There are lots of options, but some clubs lack proper supervision."
2024-04-09,S-76432,Sunrise Institute,personal motivation,6,"Motivation varies by topic, some days I feel motivated, other days I’m not as engaged."
2024-07-30,S-50219,Lakeside College,school climate,7,"The vibe is friendly, though a few corridors feel tense during peak times."
2024-09-12,S-29104,Pine Valley School,communication with school,8,"Info reaches me quickly when needed, but transition messages sometimes mix up deadlines."
2024-10-25,S-67340,Cedar Grove School,academic quality,9,Lectures are clear and structured; the support materials are very helpful.
2025-02-14,S-78421,Silver Oak School,professor teachings,6,"Some instructors are great, others could be more approachable in office hours."
2025-04-01,S-11077,Blue Horizon School,sports facilities,8,"Play spaces are well maintained, though equipment could be updated more often."
2023-08-19,S-63411,Greenwood High School,extracurricular activities,7,"Clubs exist for many interests, but communication about events is inconsistent."
2023-12-05,S-21239,Riverside Academy,personal motivation,7,"Some weeks I feel driven, other weeks I struggle with time management."
2024-03-28,S-99821,Hillcrest School,school climate,8,"There’s generally a respectful atmosphere, though sometimes rumors create a negative vibe."
2024-06-11,S-32104,Maple Leaf School,communication with school,9,"Messages come through fast and clear, love the online portal’s updates."
2024-08-27,S-55092,Sunrise Institute,academic quality,7,Some courses are rigorous but fair; a bit more practical examples would help.
2025-01-09,S-40831,Lakeside College,professor teachings,10,"Instructors are phenomenal—clear, patient, and genuinely engaged with students."
2025-03-16,S-71920,Pine Valley School,sports facilities,5,"Facilities are outdated, and maintenance is slow when things break down."
2025-05-03,S-13372,Cedar Grove School,extracurricular activities,8,"There’s a club for everyone, though some events feel under-promoted and hard to find."
2023-04-02,S-88888,Blue Horizon School,personal motivation,7,I’m generally motivated but external stress makes focus tough some days.
2023-07-25,S-67955,Silver Oak School,school climate,6,"The environment is okay, yet rumors and gossip sometimes spill into classes."
2023-03-15,S-04215,Greenwood High School,academic quality,8,"classes feel solid, but sometimes the lectures move too fast; materials are good, just need more guided practice."
2023-05-22,S-10487,Riverside Academy,professor teachings,9,"teachers know their stuff, explanations click most times. a couple of periods were rough, yet overall I learned a lot."
2023-11-02,S-23011,Hillcrest School,sports facilities,6,"gym gear is decent, courts could use better maintenance; still, I enjoy the basketball games when facilities cooperate."
2024-01-17,S-31570,Maple Leaf School,extracurricular activities,7,"there's a good mix of clubs, just wish the signup was less chaotic and more accessible."
2024-02-09,S-50123,Sunrise Institute,personal motivation,8,the counselors push you to set goals and follow through; I appreciate the accountability.
2024-03-30,S-61234,Lakeside College,school climate,7,"friendly vibe most days, though a few corridors feel crowded and noisy during peak hours."
2024-04-18,S-74002,Pine Valley School,communication with school,6,"emails reach us, but sometimes responses lag; messages from teachers sometimes feel impersonal."
2024-05-20,S-86019,Cedar Grove School,academic quality,9,"rigorous courses and clear assessments, I finally understand calculus concepts well."
2024-07-11,S-91234,Silver Oak School,professor teachings,5,"some professors are engaging, others seem rushed; need more practical examples."
2024-08-28,S-10243,Blue Horizon School,sports facilities,8,the track and gym have been improved this year; running workouts are now actually enjoyable.
2024-09-14,S-11345,Greenwood High School,extracurricular activities,6,clubs exist but schedules clash with study time; better coordination would help.
2024-10-07,S-24118,Riverside Academy,personal motivation,7,"daily pep talks help, but some days I still feel stuck; keep it up though."
2024-11-21,S-34455,Hillcrest School,school climate,8,positive environment most days; need more inclusive events to involve everyone.
2025-01-09,S-45566,Maple Leaf School,communication with school,7,info from admin is clear; slow to respond when issues arise.
2025-02-28,S-56677,Sunrise Institute,academic quality,10,really wowed by the depth of topics and the way assignments build understanding.
2025-03-19,S-67788,Lakeside College,professor teachings,6,"professors vary; some engage, others drift; need consistency."
2025-04-06,S-78899,Pine Valley School,sports facilities,5,the fields feel neglected; it’s hard to stay motivated when things look run down.
2025-05-01,S-89900,Cedar Grove School,extracurricular activities,9,"wide range of activities, I found a perfect club for my interests, really enjoying it."
2025-06-18,S-90901,Silver Oak School,communication with school,7,"staff are friendly and reachable, but sometimes the follow-through could be better."
2023-03-15,S-10482,Greenwood High School,academic quality,8,"The core content is solid, but sometimes the pacing felt off and I had to catch up with classmates."
