response_date,student_id,school_name,service_evaluated,qualification_service,reason
3/12/2023,S-01234,Greenwood High School,academic quality,8,"Overall, the coursework is solid, but exams can feel rushed at times."
4/2/2023,S-04567,Riverside Academy,professor teachings,9,"Professors explain concepts clearly most days, though a few slides move a bit too fast."
5/21/2023,S-08912,Hillcrest School,sports facilities,6,"The gym is basic, but the courts get crowded after lunch and some equipment needs fixing."
6/15/2023,S-14325,Maple Leaf School,extracurricular activities,7,"There are options, but it seems like some clubs don’t get enough funding or interest from seniors."
7/8/2023,S-26738,Sunrise Institute,personal motivation,8,"Encouragement is there, yet I wish for more personalized guidance toward long-term goals."
8/30/2023,S-39012,Lakeside College,school climate,7,"The vibe is mostly positive, but grading periods can get tense and hallways feel crowded."
9/17/2023,S-50423,Pine Valley School,communication with school,7,"Admins reply relatively quick, yet messages about schedule changes get lost sometimes."
10/5/2023,S-65894,Cedar Grove School,academic quality,5,"Coursework is okay, but feedback on essays is inconsistent and slow."
11/11/2023,S-77123,Silver Oak School,professor teachings,10,"Instructors are engaging, patient, and challenge us to think critically every class."
12/19/2023,S-88765,Blue Horizon School,sports facilities,4,Facilities feel dated; the track is rough and parts of the gym floor are slick.
1/22/2024,S-91234,Greenwood High School,extracurricular activities,8,"There are clubs I love, but some weeks events are canceled at the last minute."
2/14/2024,S-10293,Riverside Academy,personal motivation,6,"Motivation's there, but I wish mentors checked in on my progress more often."
3/9/2024,S-11475,Hillcrest School,school climate,9,Overall vibe is supportive; teachers and peers make the school feel safe.
4/30/2024,S-12658,Maple Leaf School,communication with school,8," Front desk messages usually get answers, but some admin emails take days to respond."
5/18/2024,S-13847,Sunrise Institute,academic quality,7,"The courses push me, yet some topics move too fast for real mastery."
6/7/2024,S-15023,Lakeside College,professor teachings,6,"Some teachers are great, others seem distracted; I need more consistency."
7/21/2024,S-16290,Pine Valley School,sports facilities,9,Upgraded facilities are noticeable; the field and gym are clean and well kept.
8/16/2024,S-17456,Cedar Grove School,extracurricular activities,5,Not enough time slots for clubs I like; coordination could be better.
9/3/2024,S-18671,Silver Oak School,personal motivation,7,"I feel capable, but clearer goals and milestones would help."
10/28/2024,S-19872,Blue Horizon School,school climate,8,"Peer support is strong, but admin feels distant during core weeks."
11/9/2024,S-21098,Greenwood High School,communication with school,9,"They keep parents in the loop and staff are easy to reach, which helps with scheduling."
1/14/2025,S-22340,Riverside Academy,academic quality,6,"Coursework is solid, but grading sometimes feels slow and not very transparent."
3/12/2023,S-00001,Greenwood High School,academic quality,9,"The coursework is good and explanations are clear, though a few topics were rushed."
4/18/2023,S-00002,Riverside Academy,professor teachings,8,"Professors explain well most of the time, but pacing can drag on during dense chapters."
5/4/2023,S-00003,Hillcrest School,sports facilities,7,"Facilities are decent; gym hours clash with practice, making training tougher."
6/21/2023,S-00004,Maple Leaf School,extracurricular activities,8,"There are lots of clubs, but I wish there were more leadership roles for younger students."
9/10/2023,S-00005,Sunrise Institute,personal motivation,6,"Sometimes I feel the school doesn’t push me to stay on track, would welcome more encouragement."
1/15/2024,S-00006,Lakeside College,school climate,7,"Overall vibe is positive, though a few classes feel overcrowded and loud."
2/28/2024,S-00007,Pine Valley School,communication with school,9,"Emails and notices are timely; I always know what’s happening, really helpful."
3/22/2024,S-00008,Cedar Grove School,academic quality,8,"Lessons are engaging overall, yet some resources could be updated to match current standards."
4/7/2024,S-00009,Silver Oak School,professor teachings,7,"Some teachers are fantastic, others could be more organized during labs."
5/30/2024,S-00010,Blue Horizon School,sports facilities,6,"Fields are okay, but maintenance days disrupt practice more than expected."
7/19/2024,S-00011,Greenwood High School,extracurricular activities,9,Lotsa clubs with real projects—feels like they actually value student interests.
8/11/2024,S-00012,Riverside Academy,personal motivation,5,"I sometimes feel a bit lost, need clearer goals and more mentor check-ins."
9/2/2024,S-00013,Hillcrest School,school climate,7,"Overall a supportive environment, but some corridors get chaotic during lunch hour."
10/17/2024,S-00014,Maple Leaf School,communication with school,8,"Front desk helps out and replies quickly, though glitches pop up in the system now and then."
11/5/2024,S-00015,Sunrise Institute,academic quality,6,"Content is solid but a bit outdated in spots, could use a refresh."
1/12/2025,S-00016,Lakeside College,professor teachings,10,Amazing mentors who make tough material feel doable; really like the feedback style.
2/20/2025,S-00017,Pine Valley School,sports facilities,8,"Gym and track are solid most days, a few upgrades would boost performance."
3/8/2025,S-00018,Cedar Grove School,extracurricular activities,7,"There’s something for everyone, though I wish there was more funding for competitions."
4/25/2025,S-00019,Silver Oak School,personal motivation,9,Motivation from teachers and peers keeps me going even when topics get tough.
6/2/2025,S-00020,Blue Horizon School,school climate,6,"Nice people here, but a few cliques make some rooms feel less welcoming."
2/14/2023,S-10234,Greenwood High School,academic quality,8,"Overall quality is solid, but a few courses feel rushed."
3/1/2023,S-20485,Riverside Academy,professor teachings,9,Professors know their stuff and explain concepts clearly most days.
4/22/2023,S-31764,Hillcrest School,sports facilities,6,"Facilities are decent, but gym gear could be newer and the courts cleaner."
5/18/2023,S-45821,Maple Leaf School,extracurricular activities,7,"There are clubs I’m interested in, but some options disappear after the term ends."
6/5/2023,S-57219,Sunrise Institute,personal motivation,8,"Motivation comes from friends and teachers, but the workload can kill the vibe at times."
7/11/2023,S-68345,Lakeside College,school climate,7,"The school vibe is good overall, though mornings are a bit noisy and distracting."
8/29/2023,S-79102,Pine Valley School,communication with school,6,Info flow could be quicker; messages end up buried in inboxes.
9/12/2023,S-88123,Cedar Grove School,academic quality,9,Course materials are thorough and well put together; exams reflect what we study.
10/3/2023,S-99076,Silver Oak School,professor teachings,5,Some teachers rush through topics; would like more examples and slower pace.
11/19/2023,S-10458,Blue Horizon School,sports facilities,8,"Facilities look nice, courts are clean, and schedules are reliable."
12/8/2023,S-20341,Greenwood High School,extracurricular activities,6,I wish there were more tech clubs; robotics is underrepresented here.
1/15/2024,S-30672,Riverside Academy,personal motivation,7,"Mentors’ encouragement helps, but personal goals sometimes feel far off."
2/22/2024,S-41259,Hillcrest School,school climate,8,Overall the environment is welcoming; some corridors feel crowded during passing periods.
